fafb14_x,fafb14_y,fafb14_z,mcns_x,mcns_y,mcns_z
171253.0,215785.0,160000.0,43865.441,216410.05899999998,223953.852
171124.0,216806.0,200000.0,35880.511,218648.398,261855.16100000002
171442.0,255842.0,160000.0,44895.587,266018.28,229221.657
171450.0,254401.0,200000.0,35704.016,268698.40699999995,264996.714
171976.0,255973.0,240000.0,25425.566,270842.719,297795.048
172638.0,295765.0,160000.0,47433.395,316081.191,235692.282
171551.0,294457.0,200000.0,38165.354,318841.853,270087.724
172890.0,335302.0,160000.0,50618.795,365095.223,240060.916
171622.0,376557.0,160000.0,51796.189,413295.951,239627.86800000002
170045.0,413709.0,120000.0,54687.736000000004,458712.90599999996,196584.64599999998
171109.0,416002.0,160000.0,51968.536,461141.525,236838.202
211469.0,175795.0,160000.0,83303.398,160622.717,218209.772
212202.0,175072.0,200000.0,76581.512,162113.10499999998,258865.018
212098.0,176073.0,240000.0,66244.58099999999,164776.538,295211.125
211716.0,215631.0,160000.0,82591.235,210462.775,219864.24099999998
212258.0,215074.0,200000.0,74505.681,212864.05,260405.354
212228.0,215632.0,240000.0,62338.897000000004,215007.348,295631.512
210993.0,255242.0,160000.0,80386.481,262240.95399999997,223803.978
212845.0,255007.0,200000.0,71798.462,265040.955,262527.948
212065.0,255706.0,240000.0,61509.462,266856.95900000003,297277.59099999996
208905.0,293388.0,120000.0,87060.999,310477.814,188949.564
210830.0,295017.0,160000.0,81662.973,314396.738,230356.967
212163.0,294981.0,200000.0,73350.819,317256.913,267355.793
212273.0,295601.0,240000.0,65296.418000000005,318552.311,301893.822
209226.0,333204.0,120000.0,91607.236,360543.879,195476.756
211799.0,335260.0,200000.0,79048.93400000001,367146.744,273532.462
211614.0,335983.0,240000.0,71899.96399999999,367954.668,307782.923
209249.0,373196.0,120000.0,94689.371,409681.93200000003,198251.087
252993.0,175795.0,200000.0,115957.92,156854.627,258356.651
251894.0,175436.0,240000.0,106578.27500000001,158860.31600000002,298345.153
248431.0,212502.0,120000.0,122813.385,206427.93399999998,172722.35499999998
251030.0,216161.0,160000.0,122054.632,208037.451,217426.81999999998
252419.0,215402.0,200000.0,115504.64700000001,209299.032,261075.13999999998
252219.0,215631.0,240000.0,103063.189,209758.872,300789.76
249783.0,252636.0,120000.0,122443.629,257615.862,177379.59100000001
252549.0,255811.0,160000.0,120310.521,260474.92299999998,221014.773
251913.0,255469.0,200000.0,113479.421,262267.132,263430.944
252245.0,255700.0,240000.0,102255.213,262913.646,302827.469
252645.0,295588.0,160000.0,121157.67700000001,312833.511,226729.571
252381.0,295125.0,200000.0,114175.276,315441.874,267601.88399999996
251834.0,295723.0,240000.0,105558.766,316411.313,306723.48099999997
251936.0,336206.0,160000.0,125320.511,364297.91699999996,232501.69199999998
252566.0,335081.0,200000.0,118529.38799999999,366812.33200000005,272798.829
252076.0,335773.0,240000.0,111694.27,367125.82800000004,311374.167
251943.0,375454.0,200000.0,124105.262,415635.006,276708.294
292578.0,136991.0,200000.0,154018.07,106764.639,260564.159
291902.0,175362.0,160000.0,156891.602,158256.658,216888.109
292095.0,175452.0,200000.0,153295.099,156274.143,261292.332
291033.0,175585.0,240000.0,148060.724,155106.944,304660.956
292498.0,215622.0,120000.0,159479.324,208454.464,174170.99899999998
292588.0,216138.0,160000.0,157081.408,209525.589,217607.78300000002
292315.0,215740.0,200000.0,153112.57499999998,207991.747,261879.012
291700.0,215768.0,240000.0,146647.808,205805.432,305805.544
292828.0,256282.0,120000.0,160354.331,257775.934,178457.373
292051.0,255698.0,160000.0,157866.89,260432.39899999998,220755.38499999998
291568.0,255605.0,200000.0,153922.582,260373.82100000003,263708.881
291748.0,255817.0,240000.0,147049.91999999998,259371.554,306783.65400000004
288925.0,256128.0,280000.0,140442.004,259713.95200000002,347316.468
292994.0,296441.0,120000.0,164233.51299999998,308438.304,183562.913
292520.0,295661.0,160000.0,161359.84199999998,312433.536,226516.804
293025.0,295292.0,200000.0,156038.21300000002,314119.399,269226.14900000003
291037.0,296305.0,240000.0,148826.77000000002,314122.33099999995,310983.163
292831.0,335593.0,160000.0,166492.34100000001,364122.771,231314.581
292200.0,335488.0,200000.0,159489.59199999998,366180.248,274968.059
291971.0,335885.0,240000.0,152163.547,366642.251,316433.09900000005
292337.0,375514.0,200000.0,164074.366,415142.374,278327.311
331521.0,135816.0,160000.0,195546.732,111077.724,223257.263
332908.0,136172.0,200000.0,195244.441,108491.46,265451.886
332544.0,176101.0,120000.0,196465.612,163306.77399999998,177291.218
331986.0,175572.0,160000.0,196796.37099999998,161516.56900000002,223096.478
332174.0,175521.0,200000.0,194901.978,157774.18800000002,267400.90300000005
331475.0,176101.0,240000.0,191354.11500000002,154162.538,309214.97
332475.0,215975.0,120000.0,198639.173,209350.191,178098.284
333314.0,215939.0,160000.0,196935.33,210206.989,223633.59600000002
331825.0,215848.0,200000.0,193240.891,207847.99899999998,268629.435
331286.0,215664.0,240000.0,189963.12,204129.157,310910.198
332833.0,256189.0,120000.0,200772.638,254811.09900000002,183723.23
332556.0,255342.0,160000.0,196769.54200000002,258494.02500000002,228168.95299999998
331551.0,255995.0,200000.0,193167.847,258801.375,271481.769
332837.0,255599.0,240000.0,189849.363,256534.653,313283.936
328803.0,256963.0,280000.0,184506.228,256135.399,352796.29099999997
333114.0,296142.0,120000.0,204442.388,305340.562,188786.498
332198.0,295838.0,160000.0,199932.374,310737.312,233636.706
331355.0,295941.0,200000.0,195607.451,311457.636,277009.17500000005
331616.0,295902.0,240000.0,190734.16,309705.456,318107.415
332701.0,335833.0,160000.0,207096.49899999998,360815.78500000003,236401.298
332909.0,335168.0,200000.0,199930.48799999998,361061.619,281426.29
331473.0,335958.0,240000.0,192633.731,360781.07999999996,322600.407
372134.0,96572.0,160000.0,232853.946,63836.68,228869.88400000002
372377.0,136779.0,120000.0,231901.54,115463.531,183466.393
371547.0,135873.0,160000.0,233893.068,111624.498,226526.163
372022.0,137124.0,200000.0,235548.702,108007.523,266715.22
372232.0,175957.0,120000.0,233869.537,162699.221,179860.75199999998
