mcns_x,mcns_y,mcns_z,mcns_plot_x,mcns_plot_y,mcns_plot_z
272353.25,145104.41,281137.03,275498.25,140525.12,281137.03
454442.28,145403.84,164986.05,457426.62,148177.84,164986.05
670147.31,345269.47,311966.28,664884.25,356591.53,311966.28
517515.31,270505.09,231267.08,515396.06,275724.19,231267.08
297571.31,278544.78,162971.44,295306.84,274875.03,162971.44
438467.31,206506.89,142618.48,438997.09,208585.91,142618.48
306820.34,72394.02,158103.09,312873.56,69265.98,158103.09
379324.34,246200.28,225068.05,378299.38,245858.47,225068.05
638453.38,350863.03,321717.19,632990.25,360900.56,321717.19
430925.38,187550.55,190688.0,432226.84,189340.47,190688.0
607821.38,226316.2,177988.61,607413.06,235218.3,177988.61
315830.41,269004.97,164877.39,313936.28,266080.41,164877.39
407222.41,377367.78,216748.67,400877.59,378045.56,216748.67
259727.44,232569.67,252896.75,259350.52,227409.16,252896.75
552103.44,247801.16,227644.48,550872.88,254435.61,227644.48
586439.44,236191.5,307958.0,585649.75,244222.06,307958.0
360576.47,276648.31,305538.5,358337.19,275524.56,305538.5
348848.47,375868.06,244533.95,342611.84,374189.72,244533.95
375297.5,72929.12,175291.89,381273.25,72566.06,175291.89
225666.02,124108.55,175952.81,229697.02,117660.95,175952.81
381073.5,143698.44,98641.0,384186.59,143510.91,98641.0
404874.53,327650.91,291414.34,400539.41,328274.47,291414.34
378282.53,198140.28,215908.95,379199.28,197795.61,215908.95
663043.56,176231.59,319372.31,664612.69,187404.67,319372.31
209955.56,348625.12,215920.81,204932.42,341359.91,215920.81
229227.56,225306.84,273483.72,229168.83,218920.53,273483.72
368060.59,265299.66,180250.62,366273.5,264487.38,180250.62
279236.59,266087.28,163136.08,277490.16,261687.28,163136.08
248965.11,330479.62,297635.03,244642.94,324804.59,297635.03
379045.62,189990.47,190931.44,380290.88,189683.27,190931.44
482813.62,124992.88,268417.44,486599.12,128929.3,268417.44
185222.66,214302.53,221610.47,185644.2,206148.09,221610.47
329398.66,113343.8,190681.3,333779.75,111094.16,190681.3
409687.69,194385.72,160865.23,410730.44,195312.38,160865.23
354831.69,118022.37,259207.06,359003.06,116796.01,259207.06
502335.69,181219.12,260875.77,503834.59,185898.06,260875.77
459703.69,42752.88,204089.28,466829.25,45823.09,204089.28
213880.72,285464.03,316089.62,211405.09,278408.88,316089.62
401057.75,220835.28,262388.03,401039.41,221391.84,262388.03
422505.75,119358.23,188215.0,426568.0,120863.74,188215.0
498657.75,134625.5,269704.59,502041.31,139193.91,269704.59
330290.78,283632.19,154340.67,327794.19,281279.66,154340.67
395930.78,129441.37,231148.56,399607.5,129865.45,231148.56
493979.81,143223.41,276195.81,497019.97,147595.91,276195.81
504003.81,199988.31,276004.53,504743.38,204719.31,276004.53
392795.81,279306.31,258455.5,390422.88,279481.53,258455.5
476475.81,204787.53,229634.59,477044.03,208402.91,229634.59
457004.84,211549.16,135317.75,457315.88,214372.69,135317.75
501700.84,144277.78,163787.84,504692.12,148961.22,163787.84
199766.39,221745.41,220855.11,199875.52,214172.23,220855.11
373933.88,124708.77,158729.59,377819.69,124248.39,158729.59
528309.88,175047.2,269606.53,530036.88,180780.12,269606.53
302654.91,75828.67,244839.33,308572.81,72529.61,244839.33
441486.91,261918.3,167733.19,439776.47,264074.06,167733.19
544895.94,248737.58,197337.92,543633.44,255080.19,197337.92
368415.94,208548.88,161924.53,368920.41,207797.27,161924.53
432343.94,342329.69,294313.69,427393.59,344050.59,294313.69
402240.97,214598.36,273715.91,402473.56,215207.8,273715.91
458944.97,63301.3,235670.83,465241.31,66324.14,235670.83
