x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
766128,205458,140043,690468,201342,123173
766128,205458,170043,690199,208024,147115
766128,205458,200043,692494,209501,181893
766128,235458,80043,676728,237305,71667
766128,235458,110043,685545,234790,95925
766128,235458,140043,688304,232566,118372
736128,85458,110043,673353,74006,129985
736128,85458,140043,670664,80832,154501
736128,85458,170043,665926,94697,181358
736128,85458,200043,664076,99202,207436
736128,85458,230043,661428,102803,236430
736128,115458,80043,673225,105717,101268
736128,115458,110043,668108,102641,129652
736128,115458,140043,666509,111576,155227
736128,115458,170043,662591,122236,180454
736128,115458,200043,659409,126973,209362
736128,115458,230043,658377,129110,242758
736128,145458,80043,665594,132472,92998
736128,145458,110043,664822,132986,125263
736128,145458,140043,664941,140596,153793
736128,145458,170043,660736,147943,179707
736128,145458,200043,660270,150219,210571
736128,145458,230043,659826,155256,245420
736128,175458,80043,656435,160187,91046
736128,175458,110043,661029,163587,117058
736128,175458,140043,660702,169241,142292
736128,175458,170043,660569,173531,170494
736128,175458,200043,661649,177239,201643
736128,205458,80043,652340,196742,89174
736128,205458,110043,660356,199238,107819
736128,205458,140043,660872,200779,128427
736128,205458,170043,659957,207192,157153
736128,235458,80043,649157,235551,79948
736128,235458,110043,657313,236116,100596
706128,85458,110043,643397,74532,126854
706128,85458,140043,636905,78967,152502
706128,85458,170043,633171,90532,178667
706128,85458,200043,632588,97767,203721
706128,85458,230043,630391,104067,233022
706128,115458,80043,639920,108452,99698
706128,115458,110043,635904,104466,127358
706128,115458,140043,634319,109215,152139
706128,115458,170043,632052,120408,177411
706128,115458,200043,631678,126325,206119
706128,115458,230043,629021,131320,237888
706128,115458,260043,627764,134688,270501
706128,145458,80043,633226,136907,94530
706128,145458,110043,632106,136692,122926
706128,145458,140043,632571,141073,151052
706128,145458,170043,631636,148709,178297
706128,145458,200043,630940,151622,208171
706128,145458,230043,630333,155904,241573
706128,175458,80043,627213,166554,90594
706128,175458,110043,629898,167128,117524
706128,175458,140043,631690,171168,144602
706128,175458,170043,628327,176308,172318
706128,175458,200043,630411,179591,204164
706128,175458,230043,632202,182603,238084
706128,205458,80043,624348,198052,89049
706128,205458,110043,629468,197789,112287
706128,205458,140043,630332,201927,135448
706128,205458,170043,629231,207330,163565
706128,235458,80043,621479,233117,85461
706128,235458,110043,627929,232788,107676
676128,85458,80043,626287,82934,91474
676128,85458,110043,617452,78197,120611
676128,85458,140043,608905,80560,150469
676128,85458,170043,604324,86425,177909
676128,85458,200043,603733,91661,204888
676128,85458,230043,600512,97924,233474
676128,115458,80043,612151,111038,92005
676128,115458,110043,605528,108151,121620
676128,115458,140043,602915,109870,148933
676128,115458,170043,600136,118520,175636
676128,115458,200043,598580,122752,204223
676128,115458,230043,596751,126729,234528
676128,115458,260043,596012,129665,267569
676128,145458,50043,605407,142173,63316
676128,145458,80043,602029,141664,91014
676128,145458,110043,599270,139981,120265
676128,145458,140043,599076,141166,148021
676128,145458,170043,598536,147026,175104
676128,145458,200043,598148,149807,203144
676128,145458,230043,599467,153081,236285
676128,145458,260043,598701,156193,267687
676128,175458,50043,595699,171534,62230
676128,175458,80043,595569,171097,89647
676128,175458,110043,596681,170082,118533
676128,175458,140043,598202,171561,145077
676128,175458,170043,597848,174689,172971
676128,175458,200043,599984,179272,201394
676128,175458,230043,600583,180228,233503
676128,205458,80043,594238,199683,88929
676128,205458,110043,596269,199318,115558
676128,205458,140043,598536,203000,140523
676128,205458,170043,598251,206208,168361
676128,235458,80043,591950,231296,86749
676128,235458,110043,597696,232822,112838
676128,235458,140043,599765,235322,137458
646128,55458,140043,602407,57836,151411
646128,85458,110043,594971,86075,115210
646128,85458,140043,583420,86395,151026
646128,85458,170043,577138,85409,182376
646128,85458,200043,575672,85919,208738
646128,85458,230043,572635,87748,233112
646128,115458,50043,594165,115429,58805
646128,115458,80043,587822,115846,85512
646128,115458,110043,577839,116629,114440
646128,115458,140043,571544,115451,146765
646128,115458,170043,570381,117326,177206
646128,115458,200043,568698,119442,205051
646128,115458,230043,566942,121935,231897
646128,115458,260043,564416,123280,264269
646128,145458,50043,577951,144175,60040
646128,145458,80043,571101,145346,87078
646128,145458,110043,568446,142265,115662
646128,145458,140043,567324,143673,145428
646128,145458,170043,567592,146133,174620
646128,145458,200043,566472,148596,202690
646128,145458,230043,568332,150104,235108
646128,145458,260043,568353,152117,265253
646128,175458,50043,564565,172585,58767
646128,175458,80043,562872,171892,88564
646128,175458,110043,562941,171973,118966
646128,175458,140043,565126,172010,145398
646128,175458,170043,566621,175306,173307
646128,175458,200043,568468,177984,201040
646128,175458,230043,569481,178714,230704
646128,205458,50043,559566,199785,59170
646128,205458,80043,562205,199695,87842
646128,205458,110043,563702,200482,117814
646128,205458,140043,565253,203545,143442
646128,205458,170043,565831,205425,170573
646128,205458,200043,567878,210319,197991
646128,235458,50043,557364,230672,58437
646128,235458,80043,560979,230238,86263
646128,235458,110043,565210,231504,114724
646128,235458,140043,567516,234603,141571
646128,265458,80043,558419,260746,83959
616128,55458,110043,586510,59113,116647
616128,55458,140043,573551,59769,152418
616128,55458,170043,561620,59838,186050
616128,85458,80043,577156,88597,83397
616128,85458,110043,570688,88517,113025
616128,85458,140043,555931,88896,151732
616128,85458,170043,551017,86608,186273
616128,85458,200043,550160,82431,211391
616128,85458,230043,546347,83034,235933
616128,115458,50043,567517,115508,53519
616128,115458,80043,563335,114384,80093
616128,115458,110043,553095,114927,110096
616128,115458,140043,543207,117383,146408
616128,115458,170043,542712,115374,177954
616128,115458,200043,541174,115657,206081
616128,115458,230043,538459,117195,233821
616128,115458,260043,535661,117392,264944
616128,145458,20043,555225,146593,27334
616128,145458,50043,548817,144884,56604
616128,145458,80043,541487,146152,83613
616128,145458,110043,539640,143773,112321
616128,145458,140043,536141,145501,143790
616128,145458,170043,538014,146343,171993
616128,145458,200043,539590,146039,202423
616128,145458,230043,539212,145416,233946
616128,145458,260043,537995,146747,263291
616128,175458,20043,543910,175435,23218
616128,175458,50043,536225,174227,54346
616128,175458,80043,532987,174219,85128
616128,175458,110043,533176,173538,115087
616128,175458,140043,534154,173217,143110
616128,175458,170043,536035,175526,170901
616128,175458,200043,537659,176610,199069
616128,175458,230043,540030,176231,230059
616128,205458,20043,534672,204413,22932
616128,205458,50043,530847,203065,53105
616128,205458,80043,531209,202847,83273
616128,205458,110043,534456,202923,113807
616128,205458,140043,535423,203689,142839
616128,205458,170043,534553,206239,169740
616128,205458,200043,535825,208010,197653
616128,235458,50043,528442,233279,54467
616128,235458,80043,531053,233238,81939
616128,235458,110043,534263,232866,110955
616128,235458,140043,537217,234443,141590
616128,265458,80043,528168,262273,81229
616128,265458,110043,532894,262538,110022
586128,55458,140043,540784,59527,145824
586128,55458,170043,527654,60216,181949
586128,55458,200043,525021,59621,207275
586128,85458,80043,547666,87051,79271
586128,85458,110043,542369,87656,109803
586128,85458,140043,524502,88742,145681
586128,85458,170043,519110,88008,180687
586128,85458,200043,518517,84903,208583
586128,85458,230043,515454,85919,234250
586128,115458,50043,536619,114635,48486
586128,115458,80043,530122,114634,75901
586128,115458,110043,524599,114312,107920
586128,115458,140043,512504,116490,143966
586128,115458,170043,512171,114202,175206
586128,115458,200043,512859,114617,203846
586128,115458,230043,511305,115418,233726
586128,115458,260043,507576,115970,264187
586128,145458,20043,526061,145192,19304
586128,145458,50043,519049,144728,50337
586128,145458,80043,512789,145867,79926
586128,145458,110043,509697,145416,110597
586128,145458,140043,507273,146234,142996
586128,145458,170043,508904,145439,171239
586128,145458,200043,511279,144847,202525
586128,145458,230043,510169,144423,231961
586128,145458,260043,508691,144610,261904
586128,175458,20043,511857,175726,18924
586128,175458,50043,504473,176023,50961
586128,175458,80043,504194,176070,79795
586128,175458,110043,504067,174834,110789
586128,175458,140043,505729,174579,141649
586128,175458,170043,506568,176140,171386
586128,175458,200043,508647,177208,201364
586128,175458,230043,510520,175780,229346
586128,205458,50043,498789,206154,49946
586128,205458,80043,500432,205267,78702
586128,205458,110043,504734,205142,108966
586128,205458,140043,506246,205066,141684
586128,205458,170043,504455,207035,171020
586128,235458,50043,495680,234907,50134
586128,235458,80043,499237,235902,78841
586128,235458,110043,503602,235021,107895
586128,235458,140043,506587,235260,140180
586128,265458,80043,497228,265027,79006
586128,265458,110043,501791,264714,108062
586128,265458,140043,505320,264972,139106
586128,295458,110043,499272,292667,109351
586128,325458,110043,496692,320569,108276
586128,355458,110043,489127,363475,136714
556128,55458,170043,492375,55828,170428
556128,55458,200043,489880,55268,200003
556128,55458,230043,487691,55162,229841
556128,85458,140043,496546,85785,140160
556128,85458,170043,487608,85392,169723
556128,85458,200043,488275,85370,199822
556128,85458,230043,484609,85326,229461
556128,115458,140043,484057,115307,139588
556128,115458,170043,482224,115607,168768
556128,115458,200043,483125,115638,199478
556128,115458,230043,482431,115598,229647
556128,115458,260043,479303,115151,259189
556128,145458,50043,488332,145359,50047
556128,145458,140043,478987,145089,139157
556128,145458,170043,479301,145822,169477
556128,145458,200043,481015,145254,199406
556128,145458,230043,480974,145495,229975
556128,145458,260043,479324,145804,259665
556128,175458,50043,473915,175387,49817
556128,175458,80043,473109,175022,80454
556128,175458,170043,477661,175516,169238
556128,175458,200043,479377,175287,199109
556128,175458,230043,480566,175383,230048
556128,205458,50043,467864,204879,50343
556128,205458,80043,469742,205343,81198
556128,205458,170043,475539,205108,169498
556128,235458,50043,465457,235917,49907
556128,235458,80043,468801,234763,80825
556128,235458,140043,476577,235392,139886
556128,265458,80043,466938,265450,80289
556128,265458,110043,471218,265627,110605
556128,265458,140043,475174,265360,139866
556128,295458,110043,469048,296734,108783
556128,295458,140043,472828,295660,139086
556128,325458,110043,466036,327271,106253
556128,325458,140043,469977,326378,138099
526128,55458,170043,467548,52623,164020
526128,55458,200043,465185,50382,193742
526128,55458,230043,461298,53759,224989
526128,85458,110043,482508,83635,109984
526128,85458,140043,467725,82562,137166
526128,85458,170043,460911,81805,160201
526128,85458,200043,458605,84714,190042
526128,85458,230043,456576,85703,224880
526128,115458,80043,468562,116036,83292
526128,115458,110043,463530,116249,111441
526128,115458,140043,453896,114354,135911
526128,115458,170043,451966,115835,164255
526128,115458,200043,452692,116398,195197
526128,115458,230043,450658,115716,225853
526128,115458,260043,447112,114829,254717
526128,145458,50043,458971,146095,49812
526128,145458,80043,453364,144975,79407
526128,145458,110043,449588,146007,108977
526128,145458,140043,446526,145302,136488
526128,145458,170043,448236,144489,168799
526128,145458,200043,450809,145903,197284
526128,145458,230043,449751,146352,227117
526128,145458,260043,448500,146549,257675
526128,175458,20043,452512,175153,20453
526128,175458,50043,446501,175356,47790
526128,175458,80043,444218,175346,78405
526128,175458,110043,443301,176860,107121
526128,175458,140043,444867,177153,137892
526128,175458,170043,445658,174935,169173
526128,175458,200043,448448,174033,199780
526128,175458,230043,450715,175180,230869
526128,205458,20043,443840,205925,18831
526128,205458,50043,441302,206254,48495
526128,205458,80043,441314,206931,78947
526128,205458,110043,443909,206595,109397
526128,205458,140043,445743,206416,137702
526128,205458,170043,444060,203765,169576
526128,205458,200043,446052,202890,202008
526128,235458,50043,437386,237246,47162
526128,235458,80043,440645,236473,79174
526128,235458,110043,444179,237238,110858
526128,235458,140043,447017,236046,139291
526128,265458,80043,437642,267643,78969
526128,265458,110043,442491,267022,110489
526128,295458,110043,438777,300144,108070
496128,55458,140043,456826,51781,133738
496128,55458,170043,446876,49906,157164
496128,55458,200043,439535,51637,186724
496128,85458,80043,458871,83504,81090
496128,85458,110043,454055,82765,109179
496128,85458,140043,440942,81794,132379
496128,85458,170043,434226,82009,153857
496128,85458,200043,429940,86374,186317
496128,85458,230043,426747,87564,224231
496128,115458,50043,446805,115744,50532
496128,115458,80043,441099,117242,82642
496128,115458,110043,432519,116284,110490
496128,115458,140043,424800,113787,134092
496128,115458,170043,422061,114754,162100
496128,115458,200043,421634,114678,193422
496128,115458,230043,418423,112115,227822
496128,115458,260043,415373,111067,256190
496128,145458,20043,437163,144277,15154
496128,145458,50043,430319,145729,42906
496128,145458,80043,422056,144768,76018
496128,145458,110043,418412,147102,106384
496128,145458,140043,416445,146599,135432
496128,145458,170043,417572,144887,166922
496128,145458,200043,418145,143529,197671
496128,145458,230043,418516,143810,225564
496128,145458,260043,418065,142417,255723
496128,175458,20043,424587,175365,16631
496128,175458,50043,416234,177572,43700
496128,175458,80043,412488,178486,73269
496128,175458,110043,412568,178614,101251
496128,175458,140043,414123,178505,135702
496128,175458,170043,416022,175689,168362
496128,175458,200043,417377,174339,200339
496128,175458,230043,419597,174473,229756
496128,205458,50043,409387,209976,43055
496128,205458,80043,410914,210234,73999
496128,205458,110043,413986,209295,103676
496128,205458,140043,415307,207831,136574
496128,205458,170043,415180,205531,169600
496128,205458,200043,417073,202503,201790
496128,205458,230043,419656,201959,232454
496128,235458,80043,410285,239998,74684
496128,235458,110043,414220,238966,107117
496128,235458,140043,417116,236977,138140
496128,265458,110043,412526,268795,108138
466128,55458,140043,430807,51616,130127
466128,55458,170043,418431,51199,156385
466128,85458,80043,428951,81870,76945
466128,85458,110043,423228,82292,106145
466128,85458,140043,409955,83670,130681
466128,85458,170043,399547,84833,157549
466128,85458,200043,395198,85167,190365
466128,115458,50043,417390,114698,43607
466128,115458,80043,411772,115337,76479
466128,115458,110043,400395,113627,105574
466128,115458,140043,391843,116819,133634
466128,115458,170043,390677,113760,162500
466128,115458,200043,388603,110711,195381
466128,115458,230043,387597,107576,228117
466128,115458,260043,384424,104746,255818
466128,145458,50043,399823,146693,38816
466128,145458,80043,392807,146510,71620
