x,y,z,x_sym,y_sym,z_sym
572200,195853,80000,571176,191206,90933
572200,195853,100000,571872,191252,110232
572200,195853,120000,564957,192342,129332
572200,195853,140000,559334,192899,148988
572200,195853,160000,557042,192630,167665
572200,195853,180000,554874,193561,186870
572200,215853,20000,570012,204710,31618
572200,215853,40000,572381,208037,59235
572200,215853,60000,571904,209708,74608
572200,215853,80000,572573,211858,90541
572200,215853,100000,568462,214702,109514
572200,215853,120000,564743,212575,129604
572200,215853,140000,561040,213070,147736
572200,215853,160000,558521,210960,167112
572200,215853,180000,557057,212627,187670
572200,215853,200000,555107,214042,205783
572200,235853,20000,569471,226749,33938
572200,235853,40000,567368,227077,51304
572200,235853,60000,568151,230115,73414
572200,235853,80000,569543,231645,93569
572200,235853,100000,568940,231788,111220
572200,235853,120000,564001,233203,128563
572200,235853,140000,560860,235152,148337
572200,235853,160000,558872,233398,167915
572200,235853,180000,557553,233745,189226
572200,255853,20000,566402,246698,32299
572200,255853,40000,564149,247924,54308
572200,255853,60000,565909,250251,73223
572200,255853,80000,568201,249922,91875
572200,255853,100000,564685,251712,110567
572200,255853,120000,562074,251399,127461
572200,255853,140000,560525,251797,146085
572200,255853,160000,558181,253469,165784
572200,255853,180000,556008,253329,187044
572200,275853,20000,568110,266140,34111
572200,275853,40000,565462,266627,54393
572200,275853,60000,566400,266829,70335
572200,275853,80000,565522,268879,90630
572200,275853,100000,565857,270145,107471
572200,275853,120000,561356,270864,125896
572200,275853,140000,559670,272535,146652
572200,275853,160000,559322,272918,165458
572200,275853,180000,556228,273090,185759
572200,295853,80000,566338,286199,87181
572200,295853,100000,566987,288791,107868
572200,295853,120000,563828,291064,124655
572200,295853,140000,561854,290725,145797
572200,295853,160000,559072,291487,166093
572200,295853,180000,558419,292187,188174
572200,295853,200000,557986,289908,205793
572200,315853,60000,572884,307449,65761
572200,315853,80000,573570,307588,86483
572200,315853,100000,571174,309616,103992
572200,315853,120000,567494,311395,125061
572200,315853,140000,563974,311667,144355
572200,315853,160000,560774,312299,168079
572200,315853,180000,558659,309837,186061
572200,315853,200000,556617,307683,201215
572200,335853,60000,574214,328196,67399
572200,335853,80000,574198,329364,86628
572200,335853,100000,574154,330099,106240
572200,335853,120000,570989,330756,126307
572200,335853,140000,566506,331187,146238
572200,335853,160000,563719,331722,165331
572200,335853,180000,559304,331638,185211
572200,335853,200000,559004,331812,203958
572200,355853,80000,573455,347168,89854
572200,355853,100000,575966,349795,108565
572200,355853,120000,572597,350735,128808
572200,355853,140000,567619,350928,146476
572200,355853,160000,566287,352468,163620
572200,355853,180000,562145,351361,183705
592200,95853,80000,581317,91492,86172
592200,95853,100000,579062,89092,105809
592200,95853,120000,576265,90087,129548
592200,115853,60000,585186,112446,71986
592200,115853,80000,583860,109453,92285
592200,115853,100000,580562,108365,112599
592200,115853,120000,577698,108215,129720
592200,115853,140000,575621,110251,148478
592200,135853,40000,587783,131126,52634
592200,135853,60000,587367,131044,71975
592200,135853,80000,584966,129313,93190
592200,135853,100000,583448,127997,111605
592200,135853,120000,579475,129370,131420
592200,135853,140000,575211,129248,150954
592200,155853,40000,590975,151014,51258
592200,155853,60000,588340,150642,73692
592200,155853,80000,586128,149028,96179
